"season","season_name","round_name","round_number","last_updated","conference","position","played","pointsFor","pointsAgainst","minScore","maxScore","avgWinMargin","avgLossMargin","playersUsed","playedThisRound","form","positionChange","team.id","team.providerId","team.name","team.abbreviation","team.nickname","team.teamType","team.club.id","team.club.providerId","team.club.name","team.club.abbreviation","team.club.nickname","quartersWon.winQ1","quartersWon.winQ2","quartersWon.winQ3","quartersWon.winQ4","quartersWon.total","thisSeasonRecord.ladderPosition","thisSeasonRecord.aggregatePoints","thisSeasonRecord.percentage","thisSeasonRecord.orderedBy","thisSeasonRecord.winRatio","thisSeasonRecord.winLossRecord.wins","thisSeasonRecord.winLossRecord.losses","thisSeasonRecord.winLossRecord.draws","thisSeasonRecord.winLossRecord.played","thisRoundLastSeason.ladderPosition","thisRoundLastSeason.aggregatePoints","thisRoundLastSeason.percentage","thisRoundLastSeason.orderedBy","thisRoundLastSeason.winRatio","thisRoundLastSeason.winLossRecord.wins","thisRoundLastSeason.winLossRecord.losses","thisRoundLastSeason.winLossRecord.draws","thisRoundLastSeason.winLossRecord.played","homeRecord.wins","homeRecord.losses","homeRecord.draws","homeRecord.played","interstateRecord.wins","interstateRecord.losses","interstateRecord.draws","interstateRecord.played","lastFiveGamesRecord.wins","lastFiveGamesRecord.losses","lastFiveGamesRecord.draws","lastFiveGamesRecord.played","dayRecord.wins","dayRecord.losses","dayRecord.draws","dayRecord.played","nightRecord.wins","nightRecord.losses","nightRecord.draws","nightRecord.played","localRecord.wins","localRecord.losses","localRecord.draws","localRecord.played","lastOpponent.id","lastOpponent.providerId","lastOpponent.name","lastOpponent.abbreviation","lastOpponent.nickname","lastOpponent.teamType","lastOpponent.club.id","lastOpponent.club.providerId","lastOpponent.club.name","lastOpponent.club.abbreviation","lastOpponent.club.nickname","nextOpponent.id","nextOpponent.providerId","nextOpponent.name","nextOpponent.abbreviation","nextOpponent.nickname","nextOpponent.teamType","nextOpponent.club.id","nextOpponent.club.providerId","nextOpponent.club.name","nextOpponent.club.abbreviation","nextOpponent.club.nickname"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",1,15,1322,947,56,120,37.6,25.3,33,TRUE,"WWWWWWWWWWLLLWW","NONE",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",13,8,12,9,42,1,48,139.6,"points",0,12,3,0,15,2,48,128.5,"points",0,12,3,0,15,6,2,0,8,4,0,0,4,2,3,0,5,2,1,0,3,10,2,0,12,8,3,0,11,1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",2,15,1410,1040,66,144,38.6,13.8,34,TRUE,"WLWWLWLWLWWWWWW","NONE",10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",11,9,7,11,38,2,44,135.6,"points",0,11,4,0,15,5,44,123.4,"points",0,11,4,0,15,6,1,0,7,3,1,0,4,5,0,0,5,5,2,0,7,6,2,0,8,8,3,0,11,6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",3,15,1499,1181,53,156,37.4,23.3,34,TRUE,"WWWLWWWWWLWLWLW","NONE",2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",9,8,11,8,36,3,44,126.9,"points",0,11,4,0,15,3,44,134.7,"points",0,11,4,0,15,7,0,0,7,3,4,0,7,3,2,0,5,1,2,0,3,10,2,0,12,8,0,0,8,8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",4,14,1118,912,33,107,31.9,28.3,37,FALSE,"WLWWWWWWLLWWWL","NONE",14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",8,6,8,8,30,4,40,122.6,"points",0,10,4,0,14,10,28,92.2,"points",0,7,8,0,15,5,2,0,7,4,2,0,6,3,2,0,5,3,4,0,7,7,0,0,7,6,2,0,8,5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",5,15,1312,1170,62,116,24.1,19.8,39,TRUE,"WWWLWLWWWWLWLWL","NONE",5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",8,10,6,6,30,5,40,112.1,"points",0,10,5,0,15,13,24,93,"points",0,6,9,0,15,7,1,0,8,1,2,0,3,2,3,0,5,4,1,0,5,6,4,0,10,9,3,0,12,11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",6,15,1271,1198,51,115,18.1,21.6,36,TRUE,"WWLLLWWLLWWWWWW","UP",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",9,9,8,7,33,6,40,106.1,"points",0,10,5,0,15,16,16,89.5,"points",0,4,11,0,15,5,3,0,8,2,1,0,3,5,0,0,5,8,1,0,9,2,4,0,6,8,4,0,12,4,"CD_T1000","Gold Coast Suns","GCFC","Suns","MEN",9,"CD_O14","Gold Coast Suns","Suns","Suns",6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",7,15,1344,1148,59,121,32.4,16,35,TRUE,"WWLWWWLLWLWWLWL","DOWN",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",6,8,11,12,37,7,36,117.1,"points",0,9,6,0,15,6,36,114.5,"points",0,9,6,0,15,5,2,0,7,3,4,0,7,3,2,0,5,2,3,0,5,7,3,0,10,6,2,0,8,12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",8,15,1207,1116,32,142,28.2,27.2,34,TRUE,"LWWWWWLLWWWLLLW","UP",11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",7,6,11,8,32,8,36,108.2,"points",0,9,6,0,15,11,28,83.7,"points",0,7,8,0,15,4,3,0,7,3,3,0,6,2,3,0,5,5,1,0,6,4,5,0,9,6,3,0,9,5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",9,14,1323,1139,54,165,36.5,18,36,FALSE,"LWLWLLWWWWLWWL","NONE",16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",9,10,9,7,35,9,32,116.2,"points",0,8,6,0,14,9,28,100.6,"points",0,7,8,0,15,6,1,0,7,1,2,0,3,3,2,0,5,3,1,0,4,5,5,0,10,7,4,0,11,10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles"
2022,"2022 Toyota AFL Premiership","Round 16",16,"2022-07-02T12:14:53.000+0000","1",10,15,1419,1226,61,161,42.6,21.1,38,TRUE,"LLWLWLWLWWWLWWL","DOWN",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",10,8,9,8,35,10,32,115.7,"points",0,8,7,0,15,1,48,147.6,"points",0,12,3,0,15,4,3,0,7,2,2,0,4,3,2,0,5,2,1,0,3,6,6,0,12,6,5,0,11,2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans"
