"Season","Round","Date","Local.start.time","Venue","Attendance","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","Home.score","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","Away.score","First.name","Surname","ID","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground..","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","group_id"
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"David","Astbury",11828,"12","Richmond",9,7,7,0,0,0,2,5,0,1,2,1,1,0,9,8,3,0,4,0,0,100,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Shai","Bolton",12535,"29","Richmond",3,2,3,0,0,1,0,0,1,1,3,0,3,0,3,3,0,0,1,0,0,77,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Dan","Butler",12490,"7","Richmond",10,2,3,3,0,0,7,0,6,0,3,3,1,0,7,6,0,1,1,2,2,76,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Josh","Caddy",12010,"22","Richmond",13,5,6,3,2,0,2,0,8,4,2,5,0,0,11,10,1,2,0,1,0,80,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Jason","Castagna",12431,"11","Richmond",7,4,8,2,1,0,4,0,3,3,0,1,0,0,7,8,0,2,2,0,1,76,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Reece","Conca",11888,"30","Richmond",9,0,7,0,0,0,7,2,6,2,7,0,2,0,6,10,0,0,1,1,0,77,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Trent","Cotchin",11666,"9","Richmond",14,2,10,0,0,0,4,0,5,7,2,2,0,0,13,12,0,1,1,0,2,81,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Shane","Edwards",11557,"10","Richmond",5,3,11,0,0,0,4,3,4,2,1,0,0,0,9,7,1,0,2,0,0,75,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Brandon","Ellis",12034,"5","Richmond",11,3,7,0,1,0,3,2,4,0,5,0,0,0,3,14,0,0,0,2,0,79,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
2018,"1",2018-03-22,1925,"M.C.G.",90151,"Richmond",4,4,6,11,11,14,17,19,121,"Carlton",6,1,8,3,12,4,15,5,95,"Corey","Ellis",12346,"32","Richmond",6,2,6,0,0,0,4,1,1,1,2,0,0,0,7,6,0,0,5,1,1,72,NA,"Brendan Hosking"," Brett Rosebury"," Leigh Fisher",NA,NA
