"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","homeTeamScoreChart","awayTeamScoreChart","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType"
"Adelaide Crows Vs Essendon",2013-03-22 09:40:00,"CONCLUDED","CD_M20130140101","CD_V10","2013-03-22T09:40:00","CD_T10","CD_T50","CD_R201301401","2013-03-22T20:10:00","ADEL V ESS","#AFLCrowsDons","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Essendon",NA,"CD_T50","ESS","Bombers","Adelaide","AAMI Stadium","SA","Australia/Adelaide","CD_V10","AS",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140101",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",5,NA,82,11,16,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,117,18,9,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",27,"MOSTLY_CLEAR"
"Fremantle Vs West Coast Eagles",2013-03-23 08:40:00,"CONCLUDED","CD_M20130140102","CD_V70","2013-03-23T08:40:00","CD_T60","CD_T150","CD_R201301401","2013-03-23T16:40:00","FRE V WCE","#AFLFreoEagles","Fremantle",NA,"CD_T60","FRE","Freo","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140102",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,108,16,12,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,80,11,14,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Sunny.",27,"SUNNY"
"Carlton Vs Richmond",2013-03-28 08:45:00,"CONCLUDED","CD_M20130140103","CD_V40","2013-03-28T08:45:00","CD_T30","CD_T120","CD_R201301401","2013-03-28T19:45:00","CARL V RICH","#AFLBluesTigers","Carlton",NA,"CD_T30","CARL","Blues","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140103",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",3,NA,101,14,17,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",6,NA,106,14,22,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Clear.",18,"MOSTLY_CLEAR"
"Western Bulldogs Vs Brisbane Lions",2013-03-30 02:40:00,"CONCLUDED","CD_M20130140104","CD_V190","2013-03-30T02:40:00","CD_T140","CD_T20","CD_R201301401","2013-03-30T13:40:00","WB V BL","#AFLDogsLions","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Brisbane Lions",NA,"CD_T20","BL","Lions","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140104",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",4,NA,127,19,13,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,59,7,17,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",20,"OVERCAST"
"GWS Giants Vs Sydney Swans",2013-03-30 05:40:00,"CONCLUDED","CD_M20130140105","CD_V9","2013-03-30T05:40:00","CD_T1010","CD_T160","CD_R201301401","2013-03-30T16:40:00","GWS V SYD","#AFLGiantsSwans","GWS Giants",NA,"CD_T1010","GWS","Giants","Sydney Swans",NA,"CD_T160","SYD","Swans","Sydney","Accor Stadium","NSW","Australia/Sydney","CD_V9","ASA",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140105",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,76,11,10,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,106,16,10,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny morning.",23,"MOSTLY_SUNNY"
"Gold Coast Suns Vs St Kilda",2013-03-30 08:45:00,"CONCLUDED","CD_M20130140106","CD_V81","2013-03-30T08:45:00","CD_T1000","CD_T130","CD_R201301401","2013-03-30T18:45:00","GCFC V STK","#AFLSunsSaints","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","St Kilda",NA,"CD_T130","STK","Saints","Gold Coast","Metricon Stadium","QLD","Australia/Brisbane","CD_V81","MS",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140106",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,90,13,12,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",5,NA,77,10,17,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly fine, possible shower.",27,"MOSTLY_SUNNY"
"Melbourne Vs Port Adelaide",2013-03-31 02:10:00,"CONCLUDED","CD_M20130140107","CD_V40","2013-03-31T02:10:00","CD_T90","CD_T110","CD_R201301401","2013-03-31T13:10:00","MELB V PORT","#AFLDeesPower","Melbourne",NA,"CD_T90","MELB","Demons","Port Adelaide",NA,"CD_T110","PORT","Power","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140107",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,54,8,6,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",4,NA,133,19,19,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","A few showers clearing.",20,"OVERCAST"
"North Melbourne Vs Collingwood",2013-03-31 05:40:00,"CONCLUDED","CD_M20130140108","CD_V190","2013-03-31T05:40:00","CD_T100","CD_T40","CD_R201301401","2013-03-31T16:40:00","NMFC V COLL","#AFLNorthPies","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140108",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",0,NA,87,13,9,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,103,15,13,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","A few showers clearing.",17,"OVERCAST"
"Hawthorn Vs Geelong Cats",2013-04-01 04:20:00,"CONCLUDED","CD_M20130140109","CD_V40","2013-04-01T04:20:00","CD_T80","CD_T70","CD_R201301401","2013-04-01T15:20:00","HAW V GEEL","#AFLHawksCats","Hawthorn",NA,"CD_T80","HAW","Hawks","Geelong Cats",NA,"CD_T70","GEEL","Cats","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2013","CD_R201301401","Rd 1","CD_S2013014",1,"CONCLUDED","CD_M20130140109",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,86,12,14,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",4,NA,93,13,15,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly Sunny. Mild.",16,"OVERCAST"
"St Kilda Vs Richmond",2013-04-05 08:50:00,"CONCLUDED","CD_M20130140201","CD_V40","2013-04-05T08:50:00","CD_T130","CD_T120","CD_R201301402","2013-04-05T19:50:00","STK V RICH","#AFLSaintsTigers","St Kilda",NA,"CD_T130","STK","Saints","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2013","CD_R201301402","Rd 2","CD_S2013014",2,"CONCLUDED","CD_M20130140201",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",3,NA,82,12,10,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,99,14,15,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny.",26,"MOSTLY_CLEAR"
