"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Melbourne Vs Western Bulldogs",2022-03-16 08:10:00,"CONCLUDED","CD_M20220140101","CD_V40","2022-03-16T08:10:00","CD_T90","CD_T140","CD_R202201401","2022-03-16T19:10:00","MELB V WB","#AFLDeesDogs","Melbourne",NA,"CD_T90","MELB","Demons","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140101",NA,NA,"2022-03-16T11:06:41.727+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",2,85,97,14,13,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",1,29,71,11,5,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Humid Possible shower",27,"RAIN",14,8,0,2,1,2,0,11,2,2,0,0,1,0
"Carlton Vs Richmond",2022-03-17 08:25:00,"CONCLUDED","CD_M20220140102","CD_V40","2022-03-17T08:25:00","CD_T30","CD_T120","CD_R202201401","2022-03-17T19:25:00","CARL V RICH","#AFLBluesTigers","Carlton",NA,"CD_T30","CARL","Blues","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140102",NA,NA,"2022-03-17T11:16:30.138+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",1,42,101,14,17,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",2,65,76,11,10,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",29,"RAIN",14,6,5,5,0,1,0,11,3,5,0,0,2,0
"St Kilda Vs Collingwood",2022-03-18 08:50:00,"CONCLUDED","CD_M20220140103","CD_V190","2022-03-18T08:50:00","CD_T130","CD_T40","CD_R202201401","2022-03-18T19:50:00","STK V COLL","#AFLSaintsPies","St Kilda",NA,"CD_T130","STK","Saints","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140103",NA,NA,"2022-03-18T11:54:34.670+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",2,5,85,12,13,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",1,117,102,15,12,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Light showers clearing",21,"RAIN",12,6,4,1,0,2,0,15,5,3,2,1,1,0
"Geelong Cats Vs Essendon",2022-03-19 03:10:00,"CONCLUDED","CD_M20220140104","CD_V40","2022-03-19T03:10:00","CD_T70","CD_T50","CD_R202201401","2022-03-19T14:10:00","GEEL V ESS","#AFLCatsDons","Geelong Cats",NA,"CD_T70","GEEL","Cats","Essendon",NA,"CD_T50","ESS","Bombers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140104",NA,NA,"2022-03-19T06:12:16.201+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",6,125,138,20,18,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",2,0,72,11,6,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny",29,"MOSTLY_SUNNY",20,4,5,2,1,6,0,11,3,1,0,0,2,0
"GWS Giants Vs Sydney Swans",2022-03-19 06:10:00,"CONCLUDED","CD_M20220140105","CD_V9","2022-03-19T06:10:00","CD_T1010","CD_T160","CD_R202201401","2022-03-19T17:10:00","GWS V SYD","#AFLGiantsSwans","GWS Giants",NA,"CD_T1010","GWS","Giants","Sydney Swans",NA,"CD_T160","SYD","Swans","Sydney","Accor Stadium","NSW","Australia/Sydney","CD_V9","ASA",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140105",NA,NA,"2022-03-19T09:29:28.997+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",3,64,92,13,14,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",4,51,112,17,10,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Showers easing",23,"RAIN",13,5,4,1,1,3,0,17,2,4,0,0,4,0
"Brisbane Lions Vs Port Adelaide",2022-03-19 09:10:00,"CONCLUDED","CD_M20220140106","CD_V20","2022-03-19T09:10:00","CD_T20","CD_T110","CD_R202201401","2022-03-19T19:10:00","BL V PORT","#AFLLionsPower","Brisbane Lions",NA,"CD_T20","BL","Lions","Port Adelaide",NA,"CD_T110","PORT","Power","Brisbane","Gabba","QLD","Australia/Brisbane","CD_V20","G",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140106",NA,NA,"2022-03-19T12:22:38.649+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",3,57,80,11,14,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",1,50,69,10,9,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",11,8,2,1,0,3,0,10,2,5,1,0,1,0
"Hawthorn Vs North Melbourne",2022-03-20 02:10:00,"CONCLUDED","CD_M20220140107","CD_V40","2022-03-20T02:10:00","CD_T80","CD_T100","CD_R202201401","2022-03-20T13:10:00","HAW V NMFC","#AFLHawksNorth","Hawthorn",NA,"CD_T80","HAW","Hawks","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140107",NA,NA,"2022-03-20T04:58:16.964+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",3,57,78,11,12,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",2,56,58,8,10,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",24,"MOSTLY_SUNNY",11,3,3,3,0,3,0,8,2,4,0,1,2,1
"Adelaide Crows Vs Fremantle",2022-03-20 05:10:00,"CONCLUDED","CD_M20220140108","CD_V6","2022-03-20T05:10:00","CD_T10","CD_T60","CD_R202201401","2022-03-20T15:40:00","ADEL V FRE","#AFLCrowsFreo","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Fremantle",NA,"CD_T60","FRE","Freo","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140108",NA,NA,"2022-03-20T08:07:37.407+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",0,29,82,12,10,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",2,82,83,11,17,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",12,4,5,0,1,0,0,11,8,6,1,0,2,0
"West Coast Eagles Vs Gold Coast Suns",2022-03-20 08:40:00,"CONCLUDED","CD_M20220140109","CD_V2925","2022-03-20T08:40:00","CD_T150","CD_T1000","CD_R202201401","2022-03-20T16:40:00","WCE V GCFC","#AFLEaglesSuns","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Perth","Optus Stadium","WA","Australia/Perth","CD_V2925","OS",NA,NA,NA,NA,"Round 1","2022","CD_R202201401","Rd 1","CD_S2022014",1,"CONCLUDED","CD_M20220140109",NA,NA,"2022-03-20T11:34:43.623+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",2,56,80,12,8,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",3,49,107,16,11,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",12,0,3,1,1,2,1,16,3,2,2,0,3,1
"Western Bulldogs Vs Carlton",2022-03-24 08:20:00,"CONCLUDED","CD_M20220140201","CD_V190","2022-03-24T08:20:00","CD_T140","CD_T30","CD_R202201402","2022-03-24T19:20:00","WB V CARL","#AFLDogsBlues","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Carlton",NA,"CD_T30","CARL","Blues","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 2","2022","CD_R202201402","Rd 2","CD_S2022014",2,"CONCLUDED","CD_M20220140201",NA,NA,"2022-03-24T11:25:55.296+0000","1, 2, 3, 4, 29, 13, 26, 29, 4, 2, 4, 4, 5, 1, 2, 5, NA, NA, NA, NA",3,4,90,13,12,NA,"1, 2, 3, 4, 14, 37, 2, 18, 2, 6, 0, 3, 2, 1, 2, 0, NA, NA, NA, NA",1,111,102,16,6,NA,"1, 2, 3, 4, 1781, 1924, 1678, 1903, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",20,"MOSTLY_SUNNY",13,4,2,1,1,3,1,16,3,1,1,0,1,0
