"id","providerId","utcStartTime","status","compSeason.id","compSeason.providerId","compSeason.name","compSeason.shortName","compSeason.currentRoundNumber","round.id","round.providerId","round.abbreviation","round.name","round.roundNumber","round.byes","home.team.id","home.team.providerId","home.team.name","home.team.abbreviation","home.team.nickname","home.team.teamType","home.team.club.id","home.team.club.providerId","home.team.club.name","home.team.club.abbreviation","home.team.club.nickname","home.score.goals","home.score.behinds","home.score.totalScore","home.score.superGoals","away.team.id","away.team.providerId","away.team.name","away.team.abbreviation","away.team.nickname","away.team.teamType","away.team.club.id","away.team.club.providerId","away.team.club.name","away.team.club.abbreviation","away.team.club.nickname","away.score.goals","away.score.behinds","away.score.totalScore","away.score.superGoals","venue.id","venue.providerId","venue.name","venue.abbreviation","venue.location","venue.state","venue.timezone","metadata.ticket_link","compSeason.year"
3817,"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",14,13,97,0,8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",11,5,71,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=MELBO0122",2022
3809,"CD_M20220140102","2022-03-17T08:25:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",14,17,101,0,16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",11,10,76,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=CARLT0122",2022
3811,"CD_M20220140103","2022-03-18T08:50:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",12,13,85,0,3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",15,12,102,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C5870FE08C4",2022
3810,"CD_M20220140104","2022-03-19T03:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",20,18,138,0,12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",11,6,72,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=GEELO0122",2022
3812,"CD_M20220140105","2022-03-19T06:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",15,"CD_T1010","GWS Giants","GWS","Giants","MEN",5,"CD_O16","GWS Giants","Giants","Giants",13,14,92,0,13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",17,10,112,0,10,"CD_V9","Accor Stadium","ASA","Sydney","NSW","Australia/Sydney","https://premier.ticketek.com.au/shows/Show.aspx?sh=GWSG0122",2022
3813,"CD_M20220140106","2022-03-19T09:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",11,14,80,0,7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",10,9,69,0,22,"CD_V20","Gabba","G","Brisbane","QLD","Australia/Brisbane","https://www.ticketmaster.com.au/event/13005C47BDEB6B90?CAMEFROM=CFC_AU_AFL_WEB_FIXTURECAL",2022
3814,"CD_M20220140107","2022-03-20T02:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",11,12,78,0,6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",8,10,58,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=HAWTH0122",2022
3815,"CD_M20220140108","2022-03-20T05:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",12,10,82,0,14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",11,17,83,0,31,"CD_V6","Adelaide Oval","AO","Adelaide","SA","Australia/Adelaide","https://premier.ticketek.com.au/shows/show.aspx?sh=ADELC0122",2022
3816,"CD_M20220140109","2022-03-20T08:40:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,588,"CD_R202201401","Rd 1","Round 1",1,"",18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles",12,8,80,0,4,"CD_T1000","Gold Coast Suns","GCFC","Suns","MEN",9,"CD_O14","Gold Coast Suns","Suns","Suns",16,11,107,0,65,"CD_V2925","Optus Stadium","OS","Perth","WA","Australia/Perth","https://www.ticketmaster.com.au/afl",2022
3818,"CD_M20220140201","2022-03-24T08:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",13,12,90,0,5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",16,6,102,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C58856D09F3",2022
