"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Richmond Vs Carlton",2021-03-18 08:25:00,"CONCLUDED","CD_M20210140101","CD_V40","2021-03-18T08:25:00","CD_T120","CD_T30","CD_R202101401","2021-03-18T19:25:00","RICH V CARL","#AFLTigersBlues","Richmond",NA,"CD_T120","RICH","Tigers","Carlton",NA,"CD_T30","CARL","Blues","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140101",NA,NA,"2021-03-18T11:28:30.347+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",1,76,105,15,15,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,39,80,11,14,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Sunny",26,"SUNNY",15,8,6,0,0,1,0,11,5,4,0,3,2,0
"Collingwood Vs Western Bulldogs",2021-03-19 08:50:00,"CONCLUDED","CD_M20210140102","CD_V40","2021-03-19T08:50:00","CD_T40","CD_T140","CD_R202101401","2021-03-19T19:50:00","COLL V WB","#AFLPiesDogs","Collingwood",NA,"CD_T40","COLL","Magpies","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140102",NA,NA,"2021-03-19T11:48:10.298+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",1,0,53,7,11,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",3,109,69,10,9,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",27,"MOSTLY_SUNNY",7,3,4,1,2,1,0,10,3,3,0,0,3,0
"Melbourne Vs Fremantle",2021-03-20 02:45:00,"CONCLUDED","CD_M20210140103","CD_V40","2021-03-20T02:45:00","CD_T90","CD_T60","CD_R202101401","2021-03-20T13:45:00","MELB V FRE","#AFLDeesFreo","Melbourne",NA,"CD_T90","MELB","Demons","Fremantle",NA,"CD_T60","FRE","Freo","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140103",NA,NA,"2021-03-20T05:35:07.806+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",2,99,80,11,14,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",1,10,58,8,10,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny",26,"MOSTLY_SUNNY",11,7,3,2,0,2,0,8,3,6,0,0,1,0
"Adelaide Crows Vs Geelong Cats",2021-03-20 05:35:00,"CONCLUDED","CD_M20210140104","CD_V6","2021-03-20T05:35:00","CD_T10","CD_T70","CD_R202101401","2021-03-20T16:05:00","ADEL V GEEL","#AFLCrowsCats","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Geelong Cats",NA,"CD_T70","GEEL","Cats","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140104",NA,NA,"2021-03-20T08:37:53.391+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",0,123,103,15,13,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,0,91,13,13,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",15,4,6,0,3,0,0,13,4,5,1,1,2,0
"Essendon Vs Hawthorn",2021-03-20 08:25:00,"CONCLUDED","CD_M20210140105","CD_V190","2021-03-20T08:25:00","CD_T50","CD_T80","CD_R202101401","2021-03-20T19:25:00","ESS V HAW","#AFLDonsHawks","Essendon",NA,"CD_T50","ESS","Bombers","Hawthorn",NA,"CD_T80","HAW","Hawks","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140105",NA,NA,"2021-03-20T11:22:21.353+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",2,78,91,13,13,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,32,92,14,8,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny",26,"MOSTLY_SUNNY",13,7,2,0,2,2,0,14,4,1,0,1,2,0
"Brisbane Lions Vs Sydney Swans",2021-03-20 08:45:00,"CONCLUDED","CD_M20210140106","CD_V20","2021-03-20T08:45:00","CD_T20","CD_T160","CD_R202101401","2021-03-20T18:45:00","BL V SYD","#AFLLionsSwans","Brisbane Lions",NA,"CD_T20","BL","Lions","Sydney Swans",NA,"CD_T160","SYD","Swans","Brisbane","Gabba","QLD","Australia/Brisbane","CD_V20","G",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140106",NA,NA,"2021-03-20T11:42:33.865+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",4,32,94,14,10,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",3,81,125,19,11,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",14,3,1,0,1,4,1,19,3,2,1,1,3,1
"North Melbourne Vs Port Adelaide",2021-03-21 02:10:00,"CONCLUDED","CD_M20210140107","CD_V190","2021-03-21T02:10:00","CD_T100","CD_T110","CD_R202101401","2021-03-21T13:10:00","NMFC V PORT","#AFLNorthPower","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Port Adelaide",NA,"CD_T110","PORT","Power","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140107",NA,NA,"2021-03-21T04:58:17.428+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",2,4,65,9,11,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,109,117,17,15,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two",23,"RAIN",9,8,0,0,0,2,1,17,4,9,0,0,2,0
"GWS Giants Vs St Kilda",2021-03-21 04:20:00,"CONCLUDED","CD_M20210140108","CD_V43","2021-03-21T04:20:00","CD_T1010","CD_T130","CD_R202101401","2021-03-21T15:20:00","GWS V STK","#AFLGiantsSaints","GWS Giants",NA,"CD_T1010","GWS","Giants","St Kilda",NA,"CD_T130","STK","Saints","Sydney","GIANTS Stadium","NSW","Australia/Sydney","CD_V43","GS",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140108",NA,NA,"2021-03-21T07:30:08.966+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",3,65,78,11,12,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",3,58,86,13,8,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Showers, possibly heavy",22,"RAIN",11,1,4,2,1,3,1,13,3,2,0,0,3,0
"West Coast Eagles Vs Gold Coast Suns",2021-03-21 07:10:00,"CONCLUDED","CD_M20210140109","CD_V2925","2021-03-21T07:10:00","CD_T150","CD_T1000","CD_R202101401","2021-03-21T15:10:00","WCE V GCFC","#AFLEaglesSuns","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Perth","Optus Stadium","WA","Australia/Perth","CD_V2925","OS",NA,NA,NA,NA,"Round 1","2021","CD_R202101401","Rd 1","CD_S2021014",1,"CONCLUDED","CD_M20210140109",NA,NA,"2021-03-21T09:51:29.314+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",0,78,83,12,11,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",0,29,58,8,10,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",12,1,8,0,2,0,0,8,4,4,1,1,0,0
"Carlton Vs Collingwood",2021-03-25 08:20:00,"CONCLUDED","CD_M20210140201","CD_V40","2021-03-25T08:20:00","CD_T30","CD_T40","CD_R202101402","2021-03-25T19:20:00","CARL V COLL","#AFLBluesPies","Carlton",NA,"CD_T30","CARL","Blues","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2021","CD_R202101402","Rd 2","CD_S2021014",2,"CONCLUDED","CD_M20210140201",NA,NA,"2021-03-25T11:16:08.249+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",2,1,85,13,7,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,114,106,16,10,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two",20,"RAIN",13,2,3,0,0,2,0,16,1,4,1,1,2,1
