,match.homeTeam.name,match.awayTeam.name,venue.name,round.year,round.roundNumber_x,match.matchId,train_data,pred_home_result,pred_home_prob,enter_tips,round.roundNumber_y,homeTeamScore.matchScore.totalScore,awayTeamScore.matchScore.totalScore,result,score_1,score_2,score_3
0,Western Bulldogs,Sydney Swans,Marvel Stadium,2022,3,0,0,1,1.0,pick Western Bulldogs with p=1.0,3,71,60,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
1,Melbourne,Essendon,MCG,2022,3,1,0,1,1.0,pick Melbourne with p=1.0,3,99,70,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
2,Adelaide Crows,Port Adelaide,Adelaide Oval,2022,3,2,0,1,0.775,pick Adelaide Crows with p=0.775,3,96,92,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
3,GWS Giants,Gold Coast Suns,GIANTS Stadium,2022,3,3,0,1,0.939,pick GWS Giants with p=0.939,3,83,57,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
4,Collingwood,Geelong Cats,MCG,2022,3,4,0,1,0.999,pick Collingwood with p=0.999,3,91,104,0,-0.6438561897747248,-0.6438561897747248,-1.0
5,Brisbane Lions,North Melbourne,Gabba,2022,3,5,0,1,1.0,pick Brisbane Lions with p=1.0,3,156,48,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
6,Carlton,Hawthorn,MCG,2022,3,6,0,1,0.999,pick Carlton with p=0.999,3,74,73,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
7,St Kilda,Richmond,Marvel Stadium,2022,3,7,0,1,1.0,pick St Kilda with p=1.0,3,117,84,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
8,West Coast Eagles,Fremantle,Optus Stadium,2022,3,8,0,1,0.85,pick West Coast Eagles with p=0.85,3,47,102,0,-0.6438561897747248,-0.6438561897747248,-1.0
9,Port Adelaide,Melbourne,Adelaide Oval,2022,4,0,0,0,0.0,pick Melbourne with p=1.0,4,36,68,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
10,Geelong Cats,Brisbane Lions,GMHBA Stadium,2022,4,1,0,1,0.791,pick Geelong Cats with p=0.791,4,80,70,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
11,Sydney Swans,North Melbourne,SCG,2022,4,2,0,1,0.684,pick Sydney Swans with p=0.684,4,86,75,1,0.44360665147561484,0.44360665147561484,0.45206823022381093
12,Collingwood,West Coast Eagles,Marvel Stadium,2022,4,3,0,0,0.0,pick West Coast Eagles with p=1.0,4,74,87,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
13,Richmond,Western Bulldogs,MCG,2022,4,4,0,0,0.0,pick Western Bulldogs with p=1.0,4,99,61,1,0.4436066514756146,-0.6438561897747244,-1.0
14,Fremantle,GWS Giants,Optus Stadium,2022,4,5,0,0,0.0,pick GWS Giants with p=1.0,4,88,54,1,0.4436066514756146,-0.6438561897747244,-1.0
15,Essendon,Adelaide Crows,Marvel Stadium,2022,4,6,0,0,0.0,pick Adelaide Crows with p=1.0,4,103,99,1,0.4436066514756146,-0.6438561897747244,-1.0
